prose_distinct_1,prose_distinct_2,pattern_diversity,specific_shot_diversity_2,query_text
0.14736842105263157,0.3486590038314176,0.2727272727272727,0.6666666666666666,a 45-minute conditioned game session
0.1744186046511628,0.37063563115487913,0.3333333333333333,0.875,a 45-minute conditioned game session for an advanced player
0.16145454545454546,0.38427947598253276,0.21428571428571427,0.9230769230769231,a 45-minute conditioned game session for an advanced player focusing on volley drops
0.1027479091995221,0.24686192468619247,0.058823529411764705,0.8571428571428571,a 60-minute mix session
0.1037344398340249,0.26706642066420666,0.058823529411764705,0.8571428571428571,a 60-minute mix session for an intermediate player
0.17613991255465333,0.415625,0.1111111111111111,1.0,a 60-minute mix session for an intermediate player focusing on forehand straight kill
0.10964912280701754,0.24200626959247648,0.1111111111111111,0.8461538461538461,a 60-minute mix session for an intermediate player focusing on straight lob
0.10780870035125642,0.30405405405405406,0.08064516129032258,0.625,a drill session to improve on the cross-court nick
0.1323430114787306,0.3216216216216216,0.08333333333333333,0.8333333333333334,a session focusing on the volley cross
0.14898295766904893,0.38008800880088006,0.13333333333333333,0.7058823529411765,a solo to practice cross drops
0.15945205479452054,0.38980263157894735,0.12121212121212122,1.0,practice the 3-step ghosting
