grammar,size,completeness_gain,c_resp,c_base,k_size
balanced,50,0.5833,0.5833,0.1944,3.0000
balanced,100,0.5417,0.6667,0.2777,3.0000
balanced,200,0.6875,0.7500,0.2222,3.0000
balanced,300,0.6458,0.6667,0.2222,3.0000
balanced,500,0.6250,0.7500,0.2777,3.0000
high_constraint,50,0.6945,0.8333,0.3333,2.0000
high_constraint,100,0.6945,0.9167,0.3750,2.0000
high_constraint,200,0.7083,0.8333,0.2917,2.0000
high_constraint,300,0.5833,0.6667,0.3333,2.0000
high_constraint,500,0.6667,0.8333,0.3333,2.0000
loose,50,0.6875,0.8333,0.2500,3.0000
loose,100,0.5625,0.6667,0.2500,3.0000
loose,200,0.5000,0.5833,0.2777,3.0000
loose,300,0.4792,0.5000,0.2500,3.0000
loose,500,0.5833,0.6667,0.2500,3.0000
