grammar,size,mean_diversity_score,percent_score_0,percent_score_1,percent_score_2
balanced,50,1.9166666666666667,2.7777777777777777,2.7777777777777777,94.44444444444444
balanced,100,1.9166666666666667,0.0,8.333333333333332,91.66666666666666
balanced,200,1.9722222222222223,0.0,5.555555555555555,91.66666666666666
balanced,300,2.0,0.0,2.7777777777777777,94.44444444444444
balanced,500,1.9444444444444444,0.0,5.555555555555555,94.44444444444444
high,50,1.9722222222222223,0.0,2.7777777777777777,97.22222222222221
high,100,1.9444444444444444,0.0,5.555555555555555,94.44444444444444
high,200,1.9722222222222223,0.0,2.7777777777777777,97.22222222222221
high,300,1.8333333333333333,0.0,16.666666666666664,83.33333333333334
high,500,1.9444444444444444,0.0,5.555555555555555,94.44444444444444
loose,50,1.9444444444444444,0.0,5.555555555555555,94.44444444444444
loose,100,2.0277777777777777,0.0,0.0,97.22222222222221
loose,200,1.8333333333333333,2.7777777777777777,11.11111111111111,86.11111111111111
loose,300,2.0277777777777777,0.0,2.7777777777777777,91.66666666666666
loose,500,2.0,0.0,0.0,100.0
