grammar,size,avg_answer_relevancy,n
balanced,50,0.8943594023652471,12
balanced,100,0.902799723487736,12
balanced,200,0.8974550459064997,12
balanced,300,0.8805805250024793,12
balanced,500,0.8909855972316564,12
high_constraint,50,0.8986409026072617,12
high_constraint,100,0.8692308737832591,12
high_constraint,200,0.8903619271784162,12
high_constraint,300,0.8750915201377237,12
high_constraint,500,0.891927239432578,12
loose,50,0.9042521984225852,12
loose,100,0.8906125156438276,12
loose,200,0.8903429099826988,12
loose,300,0.90344921868934,12
loose,500,0.890429463456102,12
