grammar,size,avg_faithfulness,n
balanced,50,0.7613193635904055,12
balanced,100,0.810328276012137,12
balanced,200,0.729551887492062,12
balanced,300,0.7600417882995747,12
balanced,500,0.6885455672861732,12
high_constraint,50,0.6874906105906712,12
high_constraint,100,0.7731389186859725,12
high_constraint,200,0.774653515616521,12
high_constraint,300,0.7708321768676459,12
high_constraint,500,0.6510689810080988,12
loose,50,0.7196564871224019,12
loose,100,0.7336987814491103,12
loose,200,0.8000822269285767,12
loose,300,0.6743436930237281,12
loose,500,0.7079713226486807,12
